,departure_airport_int,arriving_airport_int,departure_time_float,airline_int,date_year,date_month,date_day,date_dow,duration_hours,numStops,price_min_day,price_min,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60
44,0,303,18.967,14,23,6,9,4,1,0,20,151,250,250,250,250,250,250,236,236,236,236,236,236,236,162,162,162.0,162.0,162.0,162.0,162.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151.0,166.0,166.0,166.0,165.0,166.0,165.0,189.0,189.0,189.0,204.0,,,,,,,,,,,,,,
45,0,303,13.483,14,23,6,9,4,2,0,6,236,289,272,271,250,250,250,236,262,273,273,273,273,273,359,359,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,299,9.6,2,23,6,9,4,2,0,45,187,265,265,393,393,265,265,329,329,393,359,359,393,393,527,359,393.0,359.0,266.0,359.0,359.0,359.0,266.0,266.0,266.0,266.0,266.0,266.0,213.0,213.0,266.0,266.0,213.0,213.0,213.0,266.0,213.0,213.0,208.0,208.0,208.0,208.0,261.0,261.0,208.0,208.0,187.0,208.0,208.0,261.0,208.0,187.0,187.0,187.0,,,,,,,,
47,0,299,16.05,2,23,6,9,4,2,0,37,187,265,265,265,265,265,265,329,329,280,280,359,280,280,213,266,266.0,213.0,203.0,203.0,203.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,208.0,261.0,261.0,208.0,208.0,354.0,354.0
48,0,299,17.333,2,23,6,9,4,2,0,37,187,265,265,265,265,265,265,250,250,280,280,280,280,280,203,203,203.0,203.0,203.0,203.0,203.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0,187.0
49,1,90,17.783,5,23,6,9,4,1,0,37,164,299,299,299,299,299,299,269,269,269,274,269,269,269,199,214,214.0,214.0,214.0,214.0,214.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,174.0,174.0,174.0,174.0,174.0,174.0,169.0,169.0,164.0,,,,,,,,,,,,,,,,,,,,,,,
50,1,90,9.733,5,23,6,9,4,1,0,36,164,379,469,559,469,469,469,439,274,274,269,269,269,199,214,214,214.0,214.0,214.0,214.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,174.0,174.0,174.0,174.0,174.0,174.0,169.0,169.0,164.0,189.0,239.0,239.0,239.0,194.0,224.0,224.0,,,,,,,,,,,,,,,,,
51,2,299,5.5,2,23,6,9,4,2,0,14,302,471,471,471,471,471,471,341,341,341,448,362,362,362,362,302,302.0,302.0,302.0,401.0,362.0,362.0,401.0,362.0,362.0,401.0,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,299,9.55,2,23,6,9,4,2,0,15,302,471,471,471,471,471,583,409,448,448,448,409,448,448,362,362,302.0,396.0,362.0,362.0,362.0,362.0,362.0,302.0,401.0,369.0,401.0,401.0,401.0,401.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,396.0,396.0,364.0,364.0,364.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,396.0,364.0,364.0,396.0,396.0,448.0,836.0,720.0
53,2,299,13.733,2,23,6,9,4,2,0,6,341,471,471,471,471,471,471,341,341,448,448,362,448,448,448,583,583.0,448.0,401.0,401.0,401.0,401.0,401.0,362.0,362.0,362.0,369.0,401.0,362.0,401.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,364.0,364.0,364.0,364.0,364.0,364.0,396.0,396.0,396.0,396.0,,,,,,,,,,,,,,
